file,stratified,splits,disc,bins,acc,pr,rec,f1
pima-diabetes.csv,0,2,1,4,0.7212239583333333,0.6925139256430791,0.6876591923171309,0.689147362201239
pima-diabetes.csv,0,3,1,4,0.7278645833333333,0.7006581742196281,0.6949004033692225,0.6959984815174984
pima-diabetes.csv,0,5,1,4,0.7216399286987523,0.693013668366439,0.6887558513019498,0.6886713184544594
pima-diabetes.csv,0,10,1,4,0.7250170881749829,0.6992776859087806,0.6936952978707672,0.6924337071447653
pima-diabetes.csv,1,2,1,4,0.7209635416666667,0.6915289029164322,0.6829447761194031,0.6860534727730835
pima-diabetes.csv,1,3,1,4,0.7261990134088656,0.700386645855078,0.6927357235951515,0.6943780206753181
pima-diabetes.csv,1,5,1,4,0.7216238010355658,0.6943384326639244,0.6881233403214536,0.6897253360755492
pima-diabetes.csv,1,10,1,4,0.7261927546138073,0.7015774700639748,0.6945501424501426,0.6951593943163307
pima-diabetes.csv,1,10,0,0,0.7543301435406699,0.733071892715922,0.7185920227920228,0.7222171087627193
pima-diabetes.csv,1,10,1,2,0.6475512645249487,0.5266962596902044,0.5070045584045584,0.42808133062585146
pima-diabetes.csv,1,10,1,4,0.7286842105263158,0.7020714469390541,0.6965358974358975,0.6968393109341775
pima-diabetes.csv,1,10,1,7,0.7456134654818866,0.722867326993848,0.723705413105413,0.7208520164093686
pima-diabetes.csv,1,10,1,10,0.7575427204374573,0.7366894167936313,0.7417934472934473,0.7368041864781664
pima-diabetes.csv,1,10,1,15,0.750651059466849,0.7299243929940671,0.7341649572649572,0.7292448122254688
pima-diabetes.csv,1,10,2,2,0.704542036910458,0.6794567018935944,0.681648433048433,0.6775919611773471
pima-diabetes.csv,1,10,2,4,0.759113123718387,0.7393406002906865,0.748154415954416,0.7405830257742
pima-diabetes.csv,1,10,2,7,0.7497607655502393,0.7307125768082158,0.7407490028490028,0.7318588788015199
pima-diabetes.csv,1,10,2,10,0.7445608339029393,0.7240904343014569,0.7310977207977208,0.7243829837995781
pima-diabetes.csv,1,10,2,15,0.7519907723855093,0.7309774222267257,0.734817378917379,0.7303333929354228
pima-diabetes.csv,1,10,3,2,0.7456903622693096,0.7233245285765312,0.719034472934473,0.7185686155902038
pima-diabetes.csv,1,10,3,4,0.7596684894053315,0.7396081647657377,0.7418034188034188,0.7380620139805149
pima-diabetes.csv,1,10,3,7,0.7617105263157895,0.7432043437405722,0.7488481481481482,0.742562529824163
pima-diabetes.csv,1,10,3,10,0.7553263841421736,0.7363137449123801,0.742045584045584,0.735602191736344
pima-diabetes.csv,1,10,3,15,0.7499709501025291,0.7295164024831439,0.731925356125356,0.7273072994241321
