file,stratified,splits,disc,bins,acc,pr,rec,f1
iris.csv,0,2,1,4,0.9333333333333333,0.8,0.7666666666666667,0.7811330049261084
iris.csv,0,3,1,4,0.9333333333333333,0.8,0.7666666666666667,0.7811330049261084
iris.csv,0,5,1,4,0.9333333333333333,0.8,0.7666666666666667,0.7811330049261084
iris.csv,0,10,1,4,0.9333333333333333,0.8,0.7666666666666667,0.7811330049261084
iris.csv,1,2,1,4,0.9666666666666667,0.9678893637226971,0.9666666666666666,0.9666372959440186
iris.csv,1,3,1,4,0.9738562091503268,0.9771604938271605,0.9738562091503268,0.9736966962773415
iris.csv,1,5,1,4,0.9733333333333334,0.9767676767676768,0.9733333333333334,0.973165236323131
iris.csv,1,10,1,4,0.9733333333333334,0.9777777777777779,0.9733333333333333,0.973063973063973
iris.csv,1,10,0,0,0.9533333333333334,0.9626984126984126,0.9533333333333334,0.9524410774410775
iris.csv,1,10,1,2,0.37333333333333335,0.24945054945054945,0.37333333333333335,0.23244221665274295
iris.csv,1,10,1,4,0.9733333333333334,0.9777777777777779,0.9733333333333333,0.973063973063973
iris.csv,1,10,1,7,0.9666666666666666,0.9722222222222223,0.9666666666666666,0.9663299663299663
iris.csv,1,10,1,10,0.9466666666666667,0.9533333333333335,0.9466666666666665,0.9462626262626262
iris.csv,1,10,1,15,0.9266666666666665,0.9452380952380952,0.9266666666666665,0.9242424242424242
iris.csv,1,10,2,2,0.74,0.7263492063492063,0.74,0.6949111999111999
iris.csv,1,10,2,4,0.8733333333333333,0.8912962962962963,0.8733333333333334,0.8683886483886484
iris.csv,1,10,2,7,0.9266666666666667,0.9376190476190477,0.9266666666666665,0.9253535353535354
iris.csv,1,10,2,10,0.9466666666666667,0.9587301587301589,0.9466666666666665,0.9452861952861952
iris.csv,1,10,2,15,0.9400000000000001,0.9477777777777779,0.9399999999999998,0.9395286195286194
iris.csv,1,10,3,2,0.96,0.9682539682539684,0.96,0.96010101010101
iris.csv,1,10,3,4,0.9199999999999999,0.9304761904761906,0.9199999999999999,0.9167917267917268
iris.csv,1,10,3,7,0.8866666666666667,0.896388888888889,0.8866666666666667,0.8835438635438635
iris.csv,1,10,3,10,0.9133333333333333,0.9188095238095239,0.9133333333333333,0.9118350168350169
iris.csv,1,10,3,15,0.9333333333333333,0.9426984126984127,0.9333333333333332,0.9324410774410774
