file,stratified,splits,disc,bins,acc,pr,rec,f1
glass.csv,0,2,1,4,0,0,0,0.11614590324662666
glass.csv,0,3,1,4,0,0,0,0.11614590324662666
glass.csv,0,5,1,4,0,0,0,0.11614590324662666
glass.csv,0,10,1,4,0,0,0,0.11614590324662666
glass.csv,1,2,1,4,0,0,0,0.3939876230584345
glass.csv,1,3,1,4,0,0,0,0.32164862866194305
glass.csv,1,5,1,4,0,0,0,0.29011597534974815
glass.csv,1,10,1,4,0,0,0,0.41166932711824344
glass.csv,1,10,0,0,0,0,0,0.41674517318480164
glass.csv,1,10,1,2,0,0,0,0.27571452882056596
glass.csv,1,10,1,4,0,0,0,0.41166932711824344
glass.csv,1,10,1,7,0,0,0,0.4224834354671817
glass.csv,1,10,1,10,0,0,0,0.4723139363503141
glass.csv,1,10,1,15,0,0,0,0.461573756182048
glass.csv,1,10,2,2,0,0,0,0.4240272786209318
glass.csv,1,10,2,4,0,0,0,0.5211897579544639
glass.csv,1,10,2,7,0,0,0,0.5850961040450204
glass.csv,1,10,2,10,0,0,0,0.5891298073271758
glass.csv,1,10,2,15,0,0,0,0.5932661607398451
glass.csv,1,10,3,2,0,0,0,0.39896804448275036
glass.csv,1,10,3,4,0,0,0,0.4033429373057856
glass.csv,1,10,3,7,0,0,0,0.5324521630212167
glass.csv,1,10,3,10,0,0,0,0.5595284345284346
glass.csv,1,10,3,15,0,0,0,0.5517605575252633
