file,stratified,splits,disc,bins,acc,pr,rec,f1
iris.csv,0,2,1,4,0,0,0,0.3414306239737274
iris.csv,0,3,1,4,0,0,0,0.3414306239737274
iris.csv,0,5,1,4,0,0,0,0.3414306239737274
iris.csv,0,10,1,4,0,0,0,0.3414306239737274
iris.csv,1,2,1,4,0,0,0,0.7118557359185526
iris.csv,1,3,1,4,0,0,0,0.7110232257340156
iris.csv,1,5,1,4,0,0,0,0.7104102761230234
iris.csv,1,10,1,4,0,0,0,0.7057773707773707
iris.csv,1,10,0,0,0,0,0,0.9524410774410775
iris.csv,1,10,1,2,0,0,0,0.23244221665274295
iris.csv,1,10,1,4,0,0,0,0.7057773707773707
iris.csv,1,10,1,7,0,0,0,0.7981313131313131
iris.csv,1,10,1,10,0,0,0,0.7916329966329967
iris.csv,1,10,1,15,0,0,0,0.7605485255485254
iris.csv,1,10,2,2,0,0,0,0.7374891774891775
iris.csv,1,10,2,4,0,0,0,0.6757004107004108
iris.csv,1,10,2,7,0,0,0,0.7292622192622193
iris.csv,1,10,2,10,0,0,0,0.7426965626965628
iris.csv,1,10,2,15,0,0,0,0.7436898286898288
iris.csv,1,10,3,2,0,0,0,0.7072053872053873
iris.csv,1,10,3,4,0,0,0,0.6584968734968735
iris.csv,1,10,3,7,0,0,0,0.7774410774410774
iris.csv,1,10,3,10,0,0,0,0.6695959595959595
iris.csv,1,10,3,15,0,0,0,0.8519023569023568
