file,stratified,splits,disc,bins,acc,pr,rec,f1
pima-diabetes.csv,0,2,1,4,0,0,0,0.39320177180686683
pima-diabetes.csv,0,3,1,4,0,0,0,0.39320177180686683
pima-diabetes.csv,0,5,1,4,0,0,0,0.39320177180686683
pima-diabetes.csv,0,10,1,4,0,0,0,0.39320177180686683
pima-diabetes.csv,1,2,1,4,0,0,0,0.3943217665615142
pima-diabetes.csv,1,3,1,4,0,0,0,0.3943220887709169
pima-diabetes.csv,1,5,1,4,0,0,0,0.39432323923936385
pima-diabetes.csv,1,10,1,4,0,0,0,0.3943257092863392
pima-diabetes.csv,1,10,0,0,0,0,0,0.7235726493134441
pima-diabetes.csv,1,10,1,2,0,0,0,0.3943257092863392
pima-diabetes.csv,1,10,1,4,0,0,0,0.3943257092863392
pima-diabetes.csv,1,10,1,7,0,0,0,0.431426955251232
pima-diabetes.csv,1,10,1,10,0,0,0,0.5166607876347189
pima-diabetes.csv,1,10,1,15,0,0,0,0.5955556284294294
pima-diabetes.csv,1,10,2,2,0,0,0,0.3943257092863392
pima-diabetes.csv,1,10,2,4,0,0,0,0.5709882689665466
pima-diabetes.csv,1,10,2,7,0,0,0,0.5837812899835131
pima-diabetes.csv,1,10,2,10,0,0,0,0.575226722455841
pima-diabetes.csv,1,10,2,15,0,0,0,0.5750986959525102
pima-diabetes.csv,1,10,3,2,0,0,0,0.5116184050007774
pima-diabetes.csv,1,10,3,4,0,0,0,0.5035023040695736
pima-diabetes.csv,1,10,3,7,0,0,0,0.5978324120629569
pima-diabetes.csv,1,10,3,10,0,0,0,0.5664386224640975
pima-diabetes.csv,1,10,3,15,0,0,0,0.6035081718222629
